work_year,experience_level,employment_type,job_title, salary ,salary_currency, salary_in_usd ,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Engineer,270703,USD,270703,USA,0,USA,M
2023,SE,FT,Data Engineer,221484,USD,221484,USA,0,USA,M
2023,SE,FT,Data Scientist,212750,USD,212750,USA,100,USA,M
2023,SE,FT,Data Scientist,185000,USD,185000,USA,100,USA,M
2023,SE,FT,Data Scientist,262000,USD,262000,USA,100,USA,M
2023,SE,FT,Data Scientist,245000,USD,245000,USA,100,USA,M
2023,SE,FT,Data Scientist,275300,USD,275300,USA,100,USA,M
2023,SE,FT,Data Scientist,183500,USD,183500,USA,100,USA,M
2023,SE,FT,Data Scientist,218500,USD,218500,USA,100,USA,M
2023,SE,FT,Data Scientist,199098,USD,199098,USA,100,USA,M
2023,SE,FT,Data Engineer,203300,USD,203300,USA,100,USA,M
2023,SE,FT,Data Engineer,123600,USD,123600,USA,100,USA,M
2023,SE,FT,Research Engineer,189110,USD,189110,USA,0,USA,M
2023,SE,FT,Research Engineer,139000,USD,139000,USA,0,USA,M
2023,EX,FT,Data Scientist,258750,USD,258750,USA,0,USA,M
2023,EX,FT,Data Scientist,185000,USD,185000,USA,0,USA,M
2023,SE,FT,Data Engineer,231500,USD,231500,USA,100,USA,M
2023,SE,FT,Data Engineer,166000,USD,166000,USA,100,USA,M
2023,SE,FT,Data Scientist,172500,USD,172500,USA,100,USA,M
2023,SE,FT,Data Scientist,110500,USD,110500,USA,100,USA,M
2023,SE,FT,Data Engineer,238000,USD,238000,USA,0,USA,M
2023,SE,FT,Data Engineer,176000,USD,176000,USA,0,USA,M
2023,SE,FT,Data Engineer,237000,USD,237000,USA,100,USA,M
2023,SE,FT,Data Engineer,201450,USD,201450,USA,100,USA,M
2023,SE,FT,Applied Scientist,309400,USD,309400,USA,0,USA,L
2023,SE,FT,Applied Scientist,159100,USD,159100,USA,0,USA,L
2023,SE,FT,Data Engineer,115000,USD,115000,USA,0,USA,M
2023,SE,FT,Data Engineer,81500,USD,81500,USA,0,USA,M
2023,SE,FT,Data Scientist,237000,USD,237000,USA,100,USA,M
2023,SE,FT,Data Scientist,201450,USD,201450,USA,100,USA,M
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,USA,0,USA,M
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,USA,0,USA,M
2023,SE,FT,Data Architect,280100,USD,280100,USA,100,USA,M
2023,SE,FT,Data Architect,168100,USD,168100,USA,100,USA,M
2023,SE,FT,Data Engineer,193500,USD,193500,USA,100,USA,M
2023,SE,FT,Data Engineer,139000,USD,139000,USA,100,USA,M
2023,MI,FT,Data Scientist,510000,HKD,65062,HKG,0,HKG,L
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PRT,100,USA,M
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IND,100,DEU,S
2022,EN,FT,AI Developer,300000,USD,300000,IND,50,IND,L
2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NLD,100,NLD,L
2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,USA,0,USA,M
2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,USA,0,USA,M
2023,SE,FT,Data Engineer,225000,USD,225000,USA,100,USA,M
2023,SE,FT,Data Engineer,175000,USD,175000,USA,100,USA,M
2023,SE,FT,Data Engineer,185000,USD,185000,USA,0,USA,M
2023,SE,FT,Data Engineer,140000,USD,140000,USA,0,USA,M
2023,SE,FT,Data Scientist,45000,EUR,48289,ESP,0,ESP,M
2023,SE,FT,Data Scientist,36000,EUR,38631,ESP,0,ESP,M
2023,SE,FT,Data Scientist,105000,USD,105000,USA,0,USA,M
2023,SE,FT,Data Scientist,70000,USD,70000,USA,0,USA,M
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,USA,0,USA,M
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,USA,0,USA,M
2023,SE,FT,Data Engineer,217000,USD,217000,USA,100,USA,M
2023,SE,FT,Data Engineer,185000,USD,185000,USA,100,USA,M
2023,SE,FT,Data Analyst,202800,USD,202800,USA,0,USA,L
2023,SE,FT,Data Analyst,104300,USD,104300,USA,0,USA,L
2023,SE,FT,Data Analyst,145000,USD,145000,USA,0,USA,M
2023,SE,FT,Data Analyst,65000,USD,65000,USA,0,USA,M
2023,SE,FT,Data Engineer,165000,USD,165000,USA,0,USA,M
2023,SE,FT,Data Engineer,132300,USD,132300,USA,0,USA,M
2023,SE,FT,Data Engineer,179170,USD,179170,USA,0,USA,M
2023,SE,FT,Data Engineer,94300,USD,94300,USA,0,USA,M
2023,SE,FT,Analytics Engineer,152500,USD,152500,USA,0,USA,M
2023,SE,FT,Analytics Engineer,116450,USD,116450,USA,0,USA,M
2023,SE,FT,Data Engineer,247300,USD,247300,USA,0,USA,M
2023,SE,FT,Data Engineer,133800,USD,133800,USA,0,USA,M
2023,SE,FT,Research Engineer,203000,USD,203000,USA,0,USA,M
2023,SE,FT,Research Engineer,133000,USD,133000,USA,0,USA,M
2023,EN,FT,Research Scientist,220000,USD,220000,USA,50,USA,L
2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CHE,100,CHE,S
2023,SE,FT,Data Scientist,120000,USD,120000,USA,0,USA,M
2023,SE,FT,Analytics Engineer,289800,USD,289800,USA,0,USA,M
2023,SE,FT,Analytics Engineer,214000,USD,214000,USA,0,USA,M
2023,SE,FT,Analytics Engineer,179820,USD,179820,USA,0,USA,M
2023,SE,FT,Analytics Engineer,143860,USD,143860,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,283200,USD,283200,USA,100,USA,M
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,USA,100,USA,M
2023,SE,FT,Analytics Engineer,214200,USD,214200,USA,0,USA,M
2023,SE,FT,Data Engineer,185900,USD,185900,USA,0,USA,M
2023,SE,FT,Data Engineer,129300,USD,129300,USA,0,USA,M
2023,SE,FT,Data Engineer,252000,USD,252000,USA,0,USA,M
2023,SE,FT,Data Engineer,129000,USD,129000,USA,0,USA,M
2023,MI,FT,Data Analytics Manager,155000,USD,155000,USA,0,USA,M
2023,MI,FT,Data Analytics Manager,140000,USD,140000,USA,0,USA,M
2023,SE,FT,Data Engineer,161800,USD,161800,USA,100,USA,M
2023,SE,FT,Data Engineer,141600,USD,141600,USA,100,USA,M
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,USA,0,USA,L
2023,SE,FT,Machine Learning Engineer,176100,USD,176100,USA,0,USA,L
2023,MI,FT,Data Engineer,100000,USD,100000,USA,100,USA,M
2023,MI,FT,Data Engineer,70000,USD,70000,USA,100,USA,M
2023,EN,FT,Data Engineer,85000,USD,85000,USA,0,USA,M
2023,EN,FT,Data Engineer,65000,USD,65000,USA,0,USA,M
2023,SE,FT,Data Scientist,138784,USD,138784,USA,100,USA,M
2023,SE,FT,Data Scientist,83270,USD,83270,USA,100,USA,M
2023,EN,FT,Data Analyst,75000,USD,75000,USA,0,USA,M
2023,EN,FT,Data Analyst,70000,USD,70000,USA,0,USA,M
2023,SE,FT,Data Analyst,204500,USD,204500,USA,0,USA,M
2023,SE,FT,Data Analyst,138900,USD,138900,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,USA,100,USA,M
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,USA,100,USA,M
2023,SE,FT,Data Engineer,95000,USD,95000,USA,100,USA,M
2023,SE,FT,Data Engineer,75000,USD,75000,USA,100,USA,M
2023,SE,FT,Data Scientist,195000,USD,195000,USA,0,USA,M
2023,SE,FT,Data Scientist,160000,USD,160000,USA,0,USA,M
2023,SE,FT,Analytics Engineer,230000,USD,230000,USA,0,USA,M
2023,SE,FT,Analytics Engineer,143200,USD,143200,USA,0,USA,M
2023,MI,FT,Business Data Analyst,105000,USD,105000,USA,50,USA,L
2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IND,100,IND,L
2023,MI,FT,Data Analyst,38000,GBP,46178,GBR,0,GBR,M
2023,MI,FT,Data Analyst,35000,GBP,42533,GBR,0,GBR,M
2023,SE,FT,Data Engineer,145000,USD,145000,USA,0,USA,M
2023,SE,FT,Data Analyst,168400,USD,168400,USA,0,USA,M
2023,SE,FT,Data Analyst,105200,USD,105200,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,190000,USD,190000,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,USA,0,USA,M
2023,SE,FT,Analytics Engineer,150000,USD,150000,USA,100,USA,M
2023,SE,FT,Analytics Engineer,120000,USD,120000,USA,100,USA,M
2023,SE,FT,Data Engineer,120000,USD,120000,USA,0,USA,M
2023,SE,FT,Data Analyst,45000,GBP,54685,CAF,100,CAF,M
2023,SE,FT,Data Analyst,35000,GBP,42533,CAF,100,CAF,M
2023,SE,FT,Data Engineer,241000,USD,241000,USA,0,USA,M
2023,SE,FT,Data Engineer,155000,USD,155000,USA,0,USA,M
2023,SE,FT,Data Engineer,220000,USD,220000,USA,100,USA,M
2023,SE,FT,Data Engineer,190000,USD,190000,USA,100,USA,M
2023,MI,FT,Data Scientist,55000,GBP,66837,GBR,0,GBR,M
2023,MI,FT,Data Scientist,45000,GBP,54685,GBR,0,GBR,M
2020,EX,FT,Staff Data Analyst,15000,USD,15000,NGA,0,CAN,M
2023,MI,FT,ETL Engineer,70000,GBP,85066,GBR,100,GBR,M
2023,MI,FT,ETL Engineer,47500,GBP,57723,GBR,100,GBR,M
2023,EN,FT,Data Analyst,85000,USD,85000,USA,100,USA,M
2023,EN,FT,Data Analyst,75000,USD,75000,USA,100,USA,M
2023,SE,FT,Data Engineer,160000,USD,160000,USA,0,USA,M
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,USA,0,USA,M
2023,MI,FT,Machine Learning Engineer,250000,USD,250000,USA,0,USA,M
2023,SE,FT,Data Scientist,228000,USD,228000,USA,0,USA,M
2023,SE,FT,Data Scientist,186000,USD,186000,USA,0,USA,M
2023,SE,FT,Data Scientist,190000,USD,190000,USA,0,USA,M
2023,MI,FT,Research Engineer,230000,USD,230000,USA,0,USA,M
2023,MI,FT,Research Engineer,200000,USD,200000,USA,0,USA,M
2023,SE,FT,Data Architect,180000,USD,180000,USA,100,USA,M
2023,SE,FT,Data Architect,115000,USD,115000,USA,100,USA,M
2023,SE,FT,Data Architect,200000,USD,200000,USA,100,USA,M
2023,SE,FT,Data DevOps Engineer,50000,EUR,53654,FRA,50,FRA,S
2023,EX,FT,Data Engineer,220000,USD,220000,USA,0,USA,M
2023,EX,FT,Data Engineer,205000,USD,205000,USA,0,USA,M
2023,MI,FT,Data Engineer,180000,USD,180000,USA,0,USA,M
2023,SE,FT,Data Engineer,200000,USD,200000,USA,100,USA,M
2023,SE,FT,Data Engineer,150000,USD,150000,USA,100,USA,M
2023,SE,FT,Computer Vision Engineer,215000,USD,215000,USA,0,USA,M
2023,SE,FT,Computer Vision Engineer,170000,USD,170000,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,247500,USD,247500,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,172200,USD,172200,USA,0,USA,M
2023,SE,FT,Data Scientist,224000,USD,224000,CAN,0,CAN,M
2023,SE,FT,Data Scientist,176000,USD,176000,CAN,0,CAN,M
2023,SE,FT,Data Analyst,120000,USD,120000,USA,100,USA,M
2023,SE,FT,Data Analyst,75000,USD,75000,USA,100,USA,M
2023,EN,FT,Data Engineer,1400000,INR,17022,IND,100,IND,L
2023,SE,FT,Applied Data Scientist,100000,AUD,68318,AUS,100,FIN,M
2023,MI,FT,AI Developer,100000,SGD,75020,FIN,0,FIN,M
2023,SE,FT,Data Analyst,140000,USD,140000,USA,0,USA,M
2023,SE,FT,Data Analyst,120000,USD,120000,USA,0,USA,M
2023,SE,FT,Data Engineer,128000,USD,128000,USA,0,USA,M
2023,EX,FT,Head of Data,329500,USD,329500,USA,0,USA,M
2023,EX,FT,Head of Data,269600,USD,269600,USA,0,USA,M
2023,SE,FT,Data Quality Analyst,100000,USD,100000,USA,0,USA,M
2023,SE,FT,Data Quality Analyst,80000,USD,80000,USA,0,USA,M
2023,SE,FT,Data Scientist,250000,USD,250000,USA,0,USA,M
2023,SE,FT,Data Scientist,162500,USD,162500,USA,0,USA,M
2023,MI,FT,AI Developer,200000,USD,200000,USA,100,USA,M
2023,SE,FT,Data Engineer,100000,USD,100000,USA,0,USA,M
2023,EX,FT,Data Engineer,145000,USD,145000,USA,0,USA,M
2023,EX,FT,Data Engineer,115000,USD,115000,USA,0,USA,M
2023,SE,FT,Data Scientist,203500,USD,203500,USA,0,USA,M
2023,SE,FT,Data Scientist,152000,USD,152000,USA,0,USA,M
2023,SE,FT,Data Scientist,239000,USD,239000,USA,0,USA,L
2023,SE,FT,Data Scientist,122900,USD,122900,USA,0,USA,L
2023,SE,FT,Data Scientist,237000,USD,237000,USA,0,USA,M
2023,SE,FT,Data Scientist,145000,USD,145000,USA,0,USA,M
2023,SE,FT,Data Science Manager,191765,USD,191765,USA,0,USA,M
2023,SE,FT,Data Science Manager,134236,USD,134236,USA,0,USA,M
2023,SE,FT,Analytics Engineer,190000,USD,190000,USA,100,USA,M
2023,SE,FT,Analytics Engineer,112000,USD,112000,USA,100,USA,M
2022,SE,FT,Data Scientist,84000,EUR,88256,ESP,100,GBR,L
2023,SE,FT,Data Analyst,135000,USD,135000,USA,0,USA,M
2023,SE,FT,Data Analyst,105500,USD,105500,USA,0,USA,M
2023,SE,FT,Research Engineer,293000,USD,293000,USA,0,USA,M
2023,SE,FT,Research Engineer,185000,USD,185000,USA,0,USA,M
2023,SE,FT,Data Analyst,80000,USD,80000,USA,0,USA,M
2023,SE,FT,Data Analyst,70000,USD,70000,USA,0,USA,M
2023,SE,FT,Data Engineer,160000,USD,160000,USA,100,USA,M
2023,SE,FT,Data Scientist,175000,USD,175000,USA,100,USA,M
2023,SE,FT,Data Scientist,145000,USD,145000,USA,100,USA,M
2023,SE,FT,Data Analyst,200000,USD,200000,USA,0,USA,M
2023,SE,FT,Data Analyst,148500,USD,148500,USA,0,USA,M
2023,SE,FT,Data Engineer,240500,USD,240500,USA,0,USA,L
2023,SE,FT,Data Engineer,123700,USD,123700,USA,0,USA,L
2023,SE,FT,Analytics Engineer,152900,USD,152900,USA,100,USA,M
2023,SE,FT,Analytics Engineer,117100,USD,117100,USA,100,USA,M
2023,SE,FT,Analytics Engineer,173000,USD,173000,USA,100,USA,M
2023,SE,FT,Analytics Engineer,113000,USD,113000,USA,100,USA,M
2023,SE,FT,Applied Scientist,260000,USD,260000,USA,0,USA,L
2023,EX,FT,Data Engineer,175000,USD,175000,USA,0,USA,M
2023,EX,FT,Data Engineer,110000,USD,110000,USA,0,USA,M
2023,SE,FT,Research Scientist,130000,USD,130000,USA,100,USA,M
2023,SE,FT,Research Scientist,110000,USD,110000,USA,100,USA,M
2023,SE,FT,Applied Scientist,205000,USD,205000,USA,100,USA,M
2023,SE,FT,Applied Scientist,184000,USD,184000,USA,100,USA,M
2023,SE,FT,Data Analyst,149500,USD,149500,USA,100,USA,M
2023,SE,FT,Data Analyst,127075,USD,127075,USA,100,USA,M
2023,SE,FT,Data Engineer,219535,USD,219535,USA,100,USA,M
2023,SE,FT,Data Engineer,146115,USD,146115,USA,100,USA,M
2023,SE,FT,Data Scientist,135000,USD,135000,USA,0,USA,M
2023,SE,FT,Data Scientist,199000,USD,199000,USA,0,USA,M
2023,SE,FT,Data Scientist,162000,USD,162000,USA,0,USA,M
2023,EX,FT,Analytics Engineer,221000,USD,221000,USA,100,USA,M
2023,EX,FT,Analytics Engineer,153000,USD,153000,USA,100,USA,M
2023,SE,FT,Data Analyst,187000,USD,187000,USA,0,USA,M
2023,SE,FT,Data Analyst,128000,USD,128000,USA,0,USA,M
2023,SE,FT,Research Scientist,210000,USD,210000,USA,0,USA,M
2023,SE,FT,Research Scientist,136000,USD,136000,USA,0,USA,M
2023,SE,FT,Data Scientist,100000,USD,100000,USA,100,USA,M
2023,SE,FT,Data Engineer,179000,USD,179000,USA,0,USA,M
2023,SE,FT,Data Engineer,109000,USD,109000,USA,0,USA,M
2023,SE,FT,Data Scientist,245000,USD,245000,USA,0,USA,M
2023,SE,FT,Data Scientist,180000,USD,180000,USA,0,USA,M
2023,SE,FT,Data Analyst,142000,USD,142000,USA,100,USA,M
2023,SE,FT,Data Manager,198800,USD,198800,USA,0,USA,M
2023,SE,FT,Data Manager,105200,USD,105200,USA,0,USA,M
2023,SE,FT,Data Analyst,125000,USD,125000,USA,100,USA,M
2023,SE,FT,Data Analyst,112000,USD,112000,USA,100,USA,M
2023,SE,FT,Data Scientist,210000,USD,210000,USA,0,USA,M
2023,SE,FT,Data Scientist,155000,USD,155000,USA,0,USA,M
2023,SE,FT,Data Manager,115000,USD,115000,USA,100,USA,M
2023,SE,FT,Data Manager,86000,USD,86000,USA,100,USA,M
2023,SE,FT,Data Scientist,165000,USD,165000,USA,0,USA,M
2023,SE,FT,Data Scientist,140000,USD,140000,USA,0,USA,M
2023,SE,FT,Data Analyst,139000,USD,139000,USA,0,USA,M
2023,SE,FT,Data Analyst,106000,USD,106000,USA,0,USA,M
2023,EN,FT,Data Analyst,55000,CAD,40663,CAN,0,CAN,L
2022,SE,FT,AI Developer,275000,USD,275000,CAN,0,CAN,S
2023,SE,FL,Machine Learning Researcher,50000,USD,50000,UKR,50,UKR,S
2023,MI,FT,Machine Learning Engineer,280700,USD,280700,USA,100,USA,M
2023,MI,FT,Machine Learning Engineer,150450,USD,150450,USA,100,USA,M
2023,EN,FT,Data Scientist,70000,CAD,51753,CAN,100,CAN,L
2023,SE,FT,Data Architect,250500,USD,250500,USA,0,USA,M
2023,SE,FT,Data Architect,159500,USD,159500,USA,0,USA,M
2023,EN,FT,Data Scientist,130001,USD,130001,USA,100,USA,M
2023,EN,FT,Data Scientist,71907,USD,71907,USA,100,USA,M
2023,MI,FT,Data Scientist,93918,USD,93918,USA,100,USA,M
2023,MI,FT,Data Scientist,51962,USD,51962,USA,100,USA,M
2023,SE,FT,Data Analyst,175000,USD,175000,CAN,100,CAN,M
2023,SE,FT,Data Analyst,135000,USD,135000,CAN,100,CAN,M
2023,SE,FT,Machine Learning Engineer,257000,USD,257000,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,147000,USD,147000,USA,0,USA,M
2023,SE,FT,Data Engineer,222000,USD,222000,USA,100,USA,M
2023,SE,FT,Data Scientist,203000,USD,203000,USA,100,USA,M
2023,SE,FT,Data Scientist,133200,USD,133200,USA,100,USA,M
2023,SE,FT,Data Engineer,221000,USD,221000,USA,0,USA,M
2023,SE,FT,Data Engineer,147000,USD,147000,USA,0,USA,M
2023,SE,FT,Data Scientist,185900,USD,185900,USA,0,USA,M
2023,SE,FT,Data Scientist,129300,USD,129300,USA,0,USA,M
2023,SE,FT,Data Scientist,238000,USD,238000,USA,100,USA,M
2023,SE,FT,Data Scientist,156000,USD,156000,USA,100,USA,M
2023,SE,FT,Machine Learning Engineer,304000,USD,304000,USA,100,USA,M
2023,SE,FT,Machine Learning Engineer,199000,USD,199000,USA,100,USA,M
2023,MI,FT,Big Data Engineer,45000,EUR,48289,ESP,100,ESP,M
2023,SE,FT,Data Engineer,150000,USD,150000,USA,0,USA,M
2023,SE,FT,Data Engineer,130000,USD,130000,USA,0,USA,M
2023,SE,FT,Data Scientist,140000,USD,140000,USA,100,USA,M
2023,SE,FT,Data Scientist,110000,USD,110000,USA,100,USA,M
2023,MI,FT,Data Analyst,90000,USD,90000,USA,0,USA,M
2023,MI,FT,Data Analyst,75000,USD,75000,USA,0,USA,M
2023,MI,FT,Research Scientist,161200,GBP,195895,GBR,0,GBR,M
2023,MI,FT,Research Scientist,84570,GBP,102772,GBR,0,GBR,M
2023,SE,FT,Data Engineer,240000,USD,240000,USA,0,USA,M
2023,SE,FT,Data Engineer,183600,USD,183600,USA,0,USA,M
2023,MI,FT,Data Specialist,130000,USD,130000,USA,0,USA,M
2023,MI,FT,Data Specialist,80000,USD,80000,USA,0,USA,M
2023,SE,FT,Data Engineer,250000,USD,250000,USA,0,USA,M
2023,SE,FT,Data Analytics Manager,160000,USD,160000,USA,100,USA,M
2023,SE,FT,Data Analytics Manager,120000,USD,120000,USA,100,USA,M
2023,SE,FT,Machine Learning Engineer,289076,USD,289076,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,202353,USD,202353,USA,0,USA,M
2023,SE,FT,Data Analyst,155000,USD,155000,USA,0,USA,M
2023,SE,FT,Data Engineer,200000,USD,200000,USA,0,USA,M
2023,SE,FT,Data Scientist,157750,USD,157750,USA,100,USA,M
2023,SE,FT,Data Scientist,104650,USD,104650,USA,100,USA,M
2023,MI,FT,Data Scientist,180000,USD,180000,USA,100,USA,M
2023,MI,FT,Data Scientist,140000,USD,140000,USA,100,USA,M
2023,EX,FT,Data Scientist,200000,USD,200000,USA,0,USA,M
2023,EX,FT,Data Scientist,145000,USD,145000,USA,0,USA,M
2023,MI,FT,Lead Data Analyst,68000,USD,68000,USA,0,USA,L
2023,EN,FT,BI Data Engineer,60000,USD,60000,USA,100,USA,M
2023,MI,FT,Data Engineer,125000,USD,125000,USA,0,USA,M
2023,MI,FT,Data Engineer,90000,USD,90000,USA,0,USA,M
2023,SE,FT,Data Analyst,105000,USD,105000,USA,100,USA,M
2023,SE,FT,Data Analyst,90000,USD,90000,USA,100,USA,M
2023,EN,FT,Research Engineer,155000,USD,155000,USA,0,USA,M
2023,EN,FT,Research Engineer,125000,USD,125000,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,241000,USD,241000,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,181000,USD,181000,USA,0,USA,M
2023,SE,FT,Data Scientist,252000,USD,252000,USA,0,USA,M
2023,SE,FT,Data Scientist,154000,USD,154000,USA,0,USA,M
2023,EX,FT,Data Architect,180000,USD,180000,USA,0,USA,M
2023,EX,FT,Data Architect,155000,USD,155000,USA,0,USA,M
2023,SE,FT,Data Scientist,191765,USD,191765,USA,0,USA,M
2023,SE,FT,Data Scientist,134236,USD,134236,USA,0,USA,M
2023,SE,FT,Data Engineer,146000,USD,146000,USA,0,USA,M
2023,SE,FT,Data Engineer,75000,USD,75000,USA,0,USA,M
2023,EN,FT,Data Analyst,64200,USD,64200,USA,100,USA,M
2023,EN,FT,Data Analyst,56100,USD,56100,USA,100,USA,M
2023,SE,FT,Machine Learning Engineer,170000,USD,170000,USA,0,USA,M
2023,SE,FT,Data Analyst,208450,USD,208450,USA,100,USA,M
2023,SE,FT,Data Analyst,170550,USD,170550,USA,100,USA,M
2023,SE,FT,Machine Learning Engineer,125000,USD,125000,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,100000,USD,100000,USA,0,USA,M
2023,MI,FT,Data Manager,135000,USD,135000,USA,0,USA,M
2023,MI,FT,Data Manager,120000,USD,120000,USA,0,USA,M
2023,SE,FT,Data Scientist,200000,USD,200000,USA,100,USA,M
2023,SE,FT,Data Scientist,170000,USD,170000,USA,100,USA,M
2023,SE,FT,Data Scientist,171250,USD,171250,IRL,0,IRL,M
2023,SE,FT,Data Scientist,113750,USD,113750,IRL,0,IRL,M
2023,SE,FT,Data Analyst,153600,USD,153600,USA,0,USA,M
2023,SE,FT,Data Analyst,100500,USD,100500,USA,0,USA,M
2023,SE,FT,Machine Learning Engineer,115000,USD,115000,CAN,100,CAN,M
2023,SE,FT,Machine Learning Engineer,95000,USD,95000,CAN,100,CAN,M
2023,MI,FT,Data Analyst,182500,USD,182500,USA,0,USA,M
2023,MI,FT,Data Analyst,121500,USD,121500,USA,0,USA,M
2023,SE,FT,Data Engineer,203100,USD,203100,USA,0,USA,M
2023,SE,FT,Data Engineer,114500,USD,114500,USA,0,USA,M
2023,MI,FT,Data Analyst,60000,GBP,72914,GBR,0,GBR,M
2023,MI,FT,Data Analyst,45000,GBP,54685,GBR,0,GBR,M
2023,EN,FT,Data Engineer,92700,USD,92700,USA,100,USA,M
2023,EN,FT,Data Engineer,61800,USD,61800,USA,100,USA,M
2023,SE,FT,Data Engineer,130000,USD,130000,USA,100,USA,M
2023,SE,FT,Data Scientist,258000,USD,258000,CAN,0,CAN,M
2023,SE,FT,Data Scientist,190000,USD,190000,CAN,0,CAN,M
2023,MI,FT,Data Architect,167500,USD,167500,USA,0,USA,M
2023,MI,FT,Data Architect,106500,USD,106500,USA,0,USA,M
